date,weekday,high_f,low_f,precip_in,cloud_pct,sunrise,sunset,conditions
2015-07-29,Wed,88,73,0.0,60,6:14 AM,8:19 PM,Overcast
2015-07-30,Thu,91,73,0.0,84,6:15 AM,8:18 PM,Overcast
2015-07-31,Fri,90,76,0.0,35,6:16 AM,8:17 PM,Overcast
2015-08-01,Sat,92,70,0.0,3,6:17 AM,8:16 PM,Clear
2015-08-02,Sun,89,71,0.0,35,6:17 AM,8:15 PM,Overcast
2015-08-03,Mon,90,72,0.01,25,6:18 AM,8:14 PM,Light drizzle
2015-08-04,Tue,90,75,0.02,29,6:19 AM,8:13 PM,Light drizzle
2015-08-05,Wed,95,75,0.09,49,6:20 AM,8:12 PM,Heavy drizzle
2015-08-06,Thu,92,74,0.86,77,6:21 AM,8:11 PM,Heavy rain
2015-08-07,Fri,77,72,0.65,96,6:21 AM,8:10 PM,Rain
2015-08-08,Sat,80,70,0.0,63,6:22 AM,8:09 PM,Light drizzle
2015-08-09,Sun,84,66,0.0,40,6:23 AM,8:08 PM,Overcast
2015-08-10,Mon,79,70,0.0,87,6:24 AM,8:07 PM,Overcast
2015-08-11,Tue,84,72,0.33,73,6:25 AM,8:06 PM,Light rain
2015-08-12,Wed,84,70,0.0,8,6:25 AM,8:05 PM,Mostly clear
2015-08-13,Thu,83,65,0.0,41,6:26 AM,8:04 PM,Overcast
2015-08-14,Fri,84,66,0.0,28,6:27 AM,8:03 PM,Partly cloudy
2015-08-15,Sat,86,66,0.0,44,6:28 AM,8:01 PM,Overcast
2015-08-16,Sun,88,67,0.0,44,6:29 AM,8:00 PM,Overcast
2015-08-17,Mon,89,69,0.0,44,6:29 AM,7:59 PM,Light drizzle
2015-08-18,Tue,81,74,0.18,96,6:30 AM,7:58 PM,Light rain
2015-08-19,Wed,83,71,0.42,66,6:31 AM,7:56 PM,Light rain
2015-08-20,Thu,87,74,0.2,80,6:32 AM,7:55 PM,Light rain
2015-08-21,Fri,85,74,0.0,54,6:33 AM,7:54 PM,Overcast
2015-08-22,Sat,84,67,0.0,56,6:34 AM,7:53 PM,Overcast
2015-08-23,Sun,84,62,0.0,49,6:34 AM,7:51 PM,Overcast
2015-08-24,Mon,88,69,0.0,35,6:35 AM,7:50 PM,Partly cloudy
2015-08-25,Tue,85,73,0.0,55,6:36 AM,7:49 PM,Overcast
